topic-id,query,question,narrative
1,coronavirus origin,what is the origin of COVID-19,"seeking range of information about the SARS-CoV-2 virus's origin, including its evolution, animal source, and first transmission into humans"
2,coronavirus response to weather changes,how does the coronavirus respond to changes in the weather,seeking range of information about the SARS-CoV-2 virus viability in different weather/climate conditions as well as information related to transmission of the virus in different climate conditions
3,coronavirus immunity,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,seeking studies of immunity developed due to infection with SARS-CoV2 or cross protection gained due to infection with other coronavirus types
4,how do people die from the coronavirus,what causes death from Covid-19?,Studies looking at mechanisms of death from Covid-19.
5,animal models of COVID-19,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,Papers that describe the results  of testing drugs that bind to spike proteins of the virus or any other drugs in any animal models. Papers about SARS-CoV-2 infection in cell culture assays are also relevant.
6,coronavirus test rapid testing,what types of rapid testing for Covid-19 have been developed?,Looking for studies identifying ways to diagnose Covid-19 more rapidly.
7,serological tests for coronavirus,are there serological tests that detect antibodies to coronavirus?,Looking for assays that measure immune response to COVID-19 that will help determine past infection and subsequent possible immunity.
8,coronavirus under reporting,how has lack of testing availability led to underreporting of true incidence of Covid-19?,Looking for studies answering questions of impact of lack of complete testing for Covid-19 on incidence and prevalence of Covid-19.
9,coronavirus in Canada,how has COVID-19 affected Canada,"seeking data related to infections (confirm, suspected, and projected) and health outcomes (symptoms, hospitalization, intensive care, mortality)"
10,coronavirus social distancing impact,has social distancing had an impact on slowing the spread of COVID-19?,seeking specific information on studies that have measured COVID-19's transmission in one or more social distancing (or non-social distancing) approaches
11,coronavirus hospital rationing,what are the guidelines for triaging patients infected with coronavirus?,"Seeking information on any guidelines for prioritizing COVID-19 patients infected with coronavirus based on demographics, clinical signs, serology and other tests."
12,coronavirus quarantine,what are best practices in hospitals and at home in maintaining quarantine?,Seeking information on best practices for activities and duration of quarantine for those exposed and/ infected to COVID-19 virus.
13,how does coronavirus spread,what are the transmission routes of coronavirus?,"Looking for information on all possible ways to contract COVID-19 from people, animals and objects"
14,coronavirus super spreaders,what evidence is there related to COVID-19 super spreaders,"seeking range of information related to the number and proportion of super spreaders, their patterns of behavior that lead to spread, and potential prevention strategies targeted specifically toward super spreaders"
15,coronavirus outside body,how long can the coronavirus live outside the body,"seeking range of information on the SARS-CoV-2's virus's survival in different environments (surfaces, liquids, etc.) outside the human body while still being viable for transmission to another human"
16,how long does coronavirus survive on surfaces,how long does coronavirus remain stable  on surfaces?,"Studies of time SARS-CoV-2 remains stable after being deposited from an infected person on everyday surfaces in a household or hospital setting, such as through coughing or touching objects."
17,coronavirus clinical trials,are there any clinical trials available for the coronavirus,seeking specific COVID-19 clinical trials ranging from trials in recruitment to completed trials with results
18,masks prevent coronavirus,what are the best masks for preventing infection by Covid-19?,What types of masks should or should not be used to prevent infection by Covid-19?
19,what alcohol sanitizer kills coronavirus,what type of hand sanitizer is needed to destroy Covid-19?,Studies assessing chemicals and their concentrations needed to destroy the Covid-19 virus.
20,coronavirus and ACE inhibitors,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,"Looking for information on interactions between  coronavirus and  angiotensin converting enzyme 2 (ACE2) receptors, risk for patients taking these medications, and recommendations for these patients."
21,coronavirus mortality,what are the mortality rates overall and in specific populations,"Seeking  information on COVID-19 fatality rates in different countries and in different population groups based on gender, blood types, or other factors"
22,coronavirus heart impacts,are cardiac complications likely in patients with COVID-19?,"Seeking information on the types, frequency and mechanisms of cardiac complications caused by coronavirus."
23,coronavirus hypertension,what kinds of complications related to COVID-19 are associated with hypertension?,seeking specific outcomes that hypertensive  (any type) patients are more/less likely to face if infected with the virus
24,coronavirus diabetes,what kinds of complications related to COVID-19 are associated with diabetes,seeking specific outcomes that diabetic (any type) patients are more/less likely to face if infected with the virus
25,coronavirus biomarkers,which biomarkers predict the severe clinical course of 2019-nCOV infection?,"Looking for information on biomarkers that predict disease outcomes in people infected with coronavirus, specifically those that predict severe and fatal outcomes."
26,coronavirus early symptoms,what are the initial symptoms of Covid-19?,Studies of patients and the first clinical manifestations they develop upon active infection?
27,coronavirus asymptomatic,what is known about those infected with Covid-19 but are asymptomatic?,Studies of people who are known to be infected with Covid-19 but show no symptoms?
28,coronavirus hydroxychloroquine,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,Basic science or clinical studies assessing the benefit and harms of treating Covid-19 with hydroxychloroquine.
29,coronavirus drug repurposing,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,"Seeking information about protein-protein interactions for any of the SARS-CoV-2  structural proteins that represent a promising therapeutic target,  and the drug  molecules that may inhibit the virus and the host cell receptors at entry step."
30,coronavirus remdesivir,is remdesivir an effective treatment for COVID-19,seeking specific information on clinical outcomes in COVID-19 patients treated with remdesivir
31,difference between coronavirus and flu,How does the coronavirus differ from seasonal flu?,"Includes studies ranging from those focusing on genomic differences to global public health impacts, but must draw direct comparisons between COVID-19 and seasonal influenza."
32,coronavirus subtypes,"Does SARS-CoV-2 have any subtypes, and if so what are they?","Papers that discuss subtypes of the virus, from named subtypes to speculative subtypes based on genomic or geographic clustering."
33,coronavirus vaccine candidates,What vaccine candidates are being tested for Covid-19?,"Seeking studies that discuss possible, but specific, COVID-19 vaccines. Includes articles from those describing the mechanisms of action of specific proposed vaccines to actual clinical trials, but excluding articles that do not name a specific vaccine candidate."
34,coronavirus recovery,What are the longer-term complications of those who recover from COVID-19?,Seeking information on the health outcomes for those that recover from the virus. Excludes studies only focusing on adverse effects related to a particular COVID-19 drug.
35,coronavirus public datasets,What new public datasets are available related to COVID-19?,"Seeking articles that specifically release new data related to SARS-CoV-2 or COVID-19, including genomic data, patient data, public health data, etc. Articles that reference previously existing datasets are not relevant."
36,SARS-CoV-2 spike structure,What is the protein structure of the SARS-CoV-2 spike?,"Looking for studies of the structure of the spike protein on the virus using any methods, such as cryo-EM or crystallography"
37,SARS-CoV-2 phylogenetic analysis,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,Looking for a range of studies which provide the results of phylogenetic network analysis on the SARS-CoV-2 genome
38,COVID inflammatory response,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,"Looking for a range of studies which describes the inflammatory response cells and pathogenesis during the Coronavirus Disease 2019 (COVID-19) outbreak, including the mechanism of anti-inflammatory drugs, corticosteroids, and vitamin supplements"
39,COVID-19 cytokine storm,What is the mechanism of cytokine storm syndrome on the COVID-19?,Looking for studies that describes mechanism of development of cytokine storm syndrome among COVID-19 cases and the range of drugs used for the therapy of cytokine storm
40,coronavirus mutations,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,"Looking for studies that describes the emergence of genomic diversity of the coronavirus due to recurrent mutations which explore the potential genomic site of the mutation, mechanisms and its potential or observed clinical implications in the pathogenicity of the virus"
